,model_id,grade_id,grade_name,price,desc
208,23,2,GX,5200000,ディーゼル／2.8L／AT／4WD／定員 5名
209,23,3,ZX,7350000,ディーゼル／2.8L／AT／4WD／定員 7名
210,24,0,GR SPORT,2382200,ガソリン／0.7L／CVT／2WD　FF／定員 2名
211,24,1,GR SPORT (5MT),2437200,ガソリン／0.7L／MT／2WD　FF／定員 2名
212,25,0,RC (6MT),2936000,ガソリン／2.4L／MT／2WD　FR／定員 4名
213,25,1,SZ (6MT),3195000,ガソリン／2.4L／MT／2WD　FR／定員 4名
214,25,2,RZ,3616000,ガソリン／2.4L／AT／2WD　FR／定員 4名
215,25,3,RZ (6MT),3518000,ガソリン／2.4L／MT／2WD　FR／定員 4名
216,25,4,SZ,3293000,ガソリン／2.4L／AT／2WD　FR／定員 4名
217,26,0,モータースポーツ参戦用車両 RC,3490000,ガソリン／1.6L／MT／4WD／定員 4名
218,26,1,RZ High performance,4980000,ガソリン／1.6L／MT／4WD／定員 4名
219,26,2,RZ,4480000,ガソリン／1.6L／MT／4WD／定員 4名
220,26,3,RZ,4830000,ガソリン／1.6L／AT／4WD／定員 4名
221,26,4,モータースポーツ参戦用車両 RC,3840000,ガソリン／1.6L／AT／4WD／定員 4名
222,26,5,RZ High performance,5330000,ガソリン／1.6L／AT／4WD／定員 4名
223,27,0,RZ(6MT),7313000,ガソリン／3.0L／MT／2WD　FR／定員 2名
224,27,1,SZ,4995000,ガソリン／2.0L／AT／2WD　FR／定員 2名
225,27,2,SZ-R,6013000,ガソリン／2.0L／AT／2WD　FR／定員 2名
226,27,3,RZ,7313000,ガソリン／3.0L／AT／2WD　FR／定員 2名
227,28,0,選択中,GRSPORT,"2,659,000 円"
228,28,1,G,2294000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
229,28,2,Z Raffine,2667000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
230,28,3,X,2146000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
231,28,4,Z,2763000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
232,28,5,Z Raffine,2837000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
233,28,6,Z,2565000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
234,28,7,X,2344000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
235,28,8,G,2492000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
236,29,0,GR SPORT,2382200,ガソリン／0.7L／CVT／2WD　FF／定員 2名
237,29,1,GR SPORT (5MT),2437200,ガソリン／0.7L／MT／2WD　FF／定員 2名
238,30,0,RC (6MT),2936000,ガソリン／2.4L／MT／2WD　FR／定員 4名
239,30,1,SZ (6MT),3195000,ガソリン／2.4L／MT／2WD　FR／定員 4名
240,30,2,RZ,3616000,ガソリン／2.4L／AT／2WD　FR／定員 4名
241,30,3,RZ (6MT),3518000,ガソリン／2.4L／MT／2WD　FR／定員 4名
242,30,4,SZ,3293000,ガソリン／2.4L／AT／2WD　FR／定員 4名
243,31,0,モータースポーツ参戦用車両 RC,3490000,ガソリン／1.6L／MT／4WD／定員 4名
244,31,1,RZ High performance,4980000,ガソリン／1.6L／MT／4WD／定員 4名
245,31,2,RZ,4480000,ガソリン／1.6L／MT／4WD／定員 4名
246,31,3,RZ,4830000,ガソリン／1.6L／AT／4WD／定員 4名
247,31,4,モータースポーツ参戦用車両 RC,3840000,ガソリン／1.6L／AT／4WD／定員 4名
248,31,5,RZ High performance,5330000,ガソリン／1.6L／AT／4WD／定員 4名
249,32,0,RZ(6MT),7313000,ガソリン／3.0L／MT／2WD　FR／定員 2名
250,32,1,SZ,4995000,ガソリン／2.0L／AT／2WD　FR／定員 2名
251,32,2,SZ-R,6013000,ガソリン／2.0L／AT／2WD　FR／定員 2名
252,32,3,RZ,7313000,ガソリン／3.0L／AT／2WD　FR／定員 2名
253,33,0,選択中,ZGRSPORT,"4,312,000 円"
254,33,1,Z Revo ROCCO Edition,4772000,ディーゼル／2.4L／AT／4WD／定員 5名
255,33,2,Z,4072000,ディーゼル／2.4L／AT／4WD／定員 5名
256,34,0,B,860200,ガソリン／0.7L／CVT／2WD　FF／定員 4名
257,34,1,G SA III,1364000,ガソリン／0.7L／CVT／4WD／定員 4名
258,34,2,B SA III,926200,ガソリン／0.7L／CVT／2WD　FF／定員 4名
259,34,3,X SA III,1102200,ガソリン／0.7L／CVT／2WD　FF／定員 4名
260,34,4,L,893200,ガソリン／0.7L／CVT／2WD　FF／定員 4名
261,34,5,B,992200,ガソリン／0.7L／CVT／4WD／定員 4名
262,34,6,X SA III,1234200,ガソリン／0.7L／CVT／4WD／定員 4名
263,34,7,L SA III,959200,ガソリン／0.7L／CVT／2WD　FF／定員 4名
264,34,8,L SA III,1091200,ガソリン／0.7L／CVT／4WD／定員 4名
265,34,9,G SA III,1232000,ガソリン／0.7L／CVT／2WD　FF／定員 4名
266,34,10,B SA III,1058200,ガソリン／0.7L／CVT／4WD／定員 4名
267,34,11,L,1025200,ガソリン／0.7L／CVT／4WD／定員 4名
